title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[SDSC TRESTLES] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[GATECH KEENELAND] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[GATECH KIDS] XSEDE Utilization (%)"
2013-06-07,111.833385061,93.470953817,94.278189624,110.582942892,87.171685282,82.366082505,83.925961706,35.263124183,51.505913493,7.689484660,0,1.443870327,0
2013-06-08,61.267486669,86.478961705,97.595992720,117.167588746,91.141710103,75.566221985,76.436050198,36.341223871,25.179370931,8.276385295,0,0.414276637,0
2013-06-09,92.586447081,100.506838716,96.829212251,54.030838133,89.931269735,48.480946674,67.749483805,38.249240213,53.474157308,7.127477620,0,0.036279405,0
2013-06-10,73.885559907,106.616873243,94.547038170,59.223936264,86.388130086,0.009750237,68.932663402,38.202702326,8.021375326,28.029563599,0,0.237579464,0
2013-06-11,89.943415925,99.455196694,97.606227564,15.112985063,85.429597066,0,72.926472276,36.820544571,26.864429525,45.894287313,0,0.424011845,0
2013-06-12,87.455946927,106.336235950,91.709374262,79.057344173,76.921251322,0,76.958684019,38.361913902,86.732015381,33.860157064,0,3.218743601,0
2013-06-13,94.659763099,99.877101205,68.671595340,81.742928060,41.012238770,45.246067412,78.564999489,38.617843295,73.731300049,24.580706380,0,0.328187470,0
2013-06-14,113.872664517,95.248377840,96.764722023,96.959141802,63.727300008,57.996663707,68.529088252,38.763252496,66.850097656,6.857806193,0,0.482097560,0
2013-06-15,117.973111807,89.588432859,96.391806382,69.798622973,72.650458679,83.470297704,61.986810375,39.860383480,11.259295247,0.358719482,0,1.558765119,0
2013-06-16,72.862457803,99.513352361,67.110446414,46.307473416,62.039342550,69.871313131,53.460422273,40.018460771,8.765200195,0.212592163,0,4.062980030,0
2013-06-17,68.838595461,108.208286251,64.565355515,63.290655529,62.649861654,65.904952257,64.992474433,39.388275359,65.911359456,10.352277018,0,6.447866339,0
2013-06-18,79.795490647,111.420391008,95.104890917,48.107709556,61.445335185,64.464177221,65.817780310,40.023870614,41.421558431,32.563019816,0,6.063132649,0
2013-06-19,88.489651021,109.576429100,82.221318119,53.448324533,78.759499105,70.390081479,74.680663285,39.910946890,44.134738363,29.944733683,0,3.702518155,0
2013-06-20,86.763939525,109.032951757,62.728306269,50.125960011,68.618873494,72.421805161,64.886291961,39.136551243,51.029731445,25.056089071,0,3.881836637,0
2013-06-21,100.822381768,109.399925247,93.948126550,48.018633953,51.058498637,82.009504616,76.213967204,41.302735921,63.097530111,26.233529663,0,1.612254554,0
2013-06-22,115.516798999,110.042423287,95.456447767,49.154657201,38.429674072,87.845564433,58.673303553,40.345634099,0.549280192,45.108457031,0,0.500490298,0
2013-06-23,103.873037574,99.498247782,92.597799092,36.728920043,34.458206380,62.999197739,60.054271936,37.530706770,2.016727702,12.685546672,0,0.560255476,0
2013-06-24,119.353423021,106.899142570,91.673682239,55.182869604,44.321451823,75.231262034,34.711402072,39.109030130,50.858325602,7.165938721,0,0.531222143,0
2013-06-25,99.887813866,111.575779373,91.584084246,64.931056665,51.182698364,68.495094006,1.132574802,33.973432601,69.158384196,1.411458333,0,0.331002917,0.030127025
2013-06-26,111.814779794,112.208126832,80.820492607,66.308117561,45.936360474,82.813424775,77.520065945,34.247321704,56.480233561,0,0,0.718411726,0
2013-06-27,125.955931713,110.693792089,48.372851134,62.353814755,40.632798360,73.072579111,85.943560927,35.974057717,61.406212972,9.531797078,0,0.180955685,0
2013-06-28,112.048840583,107.518889557,91.451128583,28.951677582,48.902456767,47.440753235,77.770111202,33.169147945,36.297580160,37.743344727,0,0.255467917,0.000465278
2013-06-29,119.471235039,107.571740587,84.728057512,28.398563203,40.955304159,53.936377742,72.387407141,36.315392054,23.427246501,22.335829061,0,0.608127827,0
2013-06-30,101.243288185,102.968927891,89.159350446,75.091233237,27.322193298,36.857822857,67.246824820,37.258181049,45.185492350,21.906430868,0,0.337826726,0
2013-07-01,81.907006735,108.491055386,78.233611395,47.668616527,35.280698547,60.491775075,74.188265828,37.684727452,56.838233643,24.174479167,0,0.379099196,0.000021701
2013-07-02,93.460085634,111.038325028,87.800267001,65.015321318,54.954372965,89.598467093,79.259143713,37.168945735,61.369195150,26.149848022,0,3.019638065,0.002035301
