,[100] Number of Jobs Started,[108] Number of Jobs Started,[10] Number of Jobs Started,[114] Number of Jobs Started,[11] Number of Jobs Started,[120] Number of Jobs Started,[126] Number of Jobs Started,[128] Number of Jobs Started,[12] Number of Jobs Started,[13] Number of Jobs Started,[14] Number of Jobs Started,[15] Number of Jobs Started,[16] Number of Jobs Started,[17] Number of Jobs Started,[18] Number of Jobs Started,[19] Number of Jobs Started,[1] Number of Jobs Started,[20] Number of Jobs Started,[21] Number of Jobs Started,[22] Number of Jobs Started,[23] Number of Jobs Started,[24] Number of Jobs Started,[25] Number of Jobs Started,[26] Number of Jobs Started,[27] Number of Jobs Started,[28] Number of Jobs Started,[29] Number of Jobs Started,[2] Number of Jobs Started,[30] Number of Jobs Started,[31] Number of Jobs Started,[32] Number of Jobs Started,[33] Number of Jobs Started,[34] Number of Jobs Started,[35] Number of Jobs Started,[36] Number of Jobs Started,[38] Number of Jobs Started,[3] Number of Jobs Started,[40] Number of Jobs Started,[42] Number of Jobs Started,[43] Number of Jobs Started,[44] Number of Jobs Started,[45] Number of Jobs Started,[46] Number of Jobs Started,[47] Number of Jobs Started,[48] Number of Jobs Started,[4] Number of Jobs Started,[50] Number of Jobs Started,[52] Number of Jobs Started,[55] Number of Jobs Started,[56] Number of Jobs Started,[57] Number of Jobs Started,[59] Number of Jobs Started,[5] Number of Jobs Started,[60] Number of Jobs Started,[62] Number of Jobs Started,[63] Number of Jobs Started,[64] Number of Jobs Started,[65] Number of Jobs Started,[6] Number of Jobs Started,[72] Number of Jobs Started,[7] Number of Jobs Started,[86] Number of Jobs Started,[8] Number of Jobs Started,[90] Number of Jobs Started,[96] Number of Jobs Started,[99] Number of Jobs Started,[9] Number of Jobs Started
2015-09-06,14.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,,2.0,0.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,44.0,,0.0,1.0,1.0
2015-09-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,,0.0,,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,,30.0,,0.0,0.0,1.0
2015-09-08,0.0,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,0.0,,0.0,,0.0,0.0,794.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,,25.0,,0.0,0.0,1.0
2015-09-09,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,,2.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,,0.0,,1.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,,39.0,,0.0,0.0,0.0
2015-09-10,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,52.0,0.0,,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,,0.0,,0.0,,0.0,0.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,,31.0,,0.0,0.0,1.0
2015-09-11,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,769.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,0.0,,0.0,,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,46.0,,0.0,0.0,1.0
2015-09-12,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,6.0,,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,41.0,,0.0,0.0,1.0
2015-09-13,0.0,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,,0.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,,34.0,,0.0,0.0,0.0
2015-09-14,0.0,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,,0.0,,0.0,,0.0,0.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,,1.0,,31.0,,0.0,0.0,0.0
2015-09-15,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,795.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,,0.0,,0.0,,0.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,,0.0,,33.0,,0.0,0.0,5.0
2015-09-16,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,,0.0,,0.0,,0.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,0.0,,24.0,,0.0,0.0,5.0
2015-09-17,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,5.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,,0.0,,10.0,,0.0,0.0,3.0
2015-09-18,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,,6.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,,0.0,,0.0,,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,,0.0,,8.0,,0.0,0.0,4.0
2015-09-19,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,,4.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,,0.0,,0.0,,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,,0.0,,21.0,,0.0,0.0,0.0
2015-09-20,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,,0.0,,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,26.0,,0.0,0.0,2.0
2015-09-21,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,0.0,,20.0,,0.0,0.0,0.0
2015-09-22,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,919.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,,3.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,,0.0,,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,,17.0,,0.0,0.0,0.0
2015-09-23,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,1181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,,18.0,,0.0,0.0,1.0
2015-09-24,0.0,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,,2.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,,0.0,,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,17.0,,0.0,,15.0,,0.0,0.0,1.0
2015-09-25,0.0,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,802.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,,20.0,,0.0,0.0,0.0
2015-09-26,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,,0.0,,11.0,,0.0,0.0,0.0
2015-09-27,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,972.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,,0.0,,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,20.0,,0.0,0.0,0.0
2015-09-28,0.0,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2633.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,,0.0,,0.0,,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,14.0,,0.0,,38.0,,0.0,0.0,0.0
2015-09-29,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,327.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,91.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,,0.0,,0.0,,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,,3.0,,11.0,,0.0,0.0,0.0
2015-09-30,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,164.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,,0.0,,0.0,,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,,0.0,,60.0,,0.0,0.0,0.0
2015-10-01,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,218.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,,0.0,,0.0,,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,5.0,,0.0,,13.0,,0.0,0.0,0.0
2015-10-02,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,55.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,12.0,,0.0,,13.0,,0.0,0.0,0.0
2015-10-03,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,,0.0,,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,,0.0,,9.0,,0.0,0.0,0.0
2015-10-04,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,1.0,,0.0,,10.0,,0.0,0.0,0.0
2015-10-05,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,263.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,,0.0,,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,12.0,,0.0,,27.0,,0.0,0.0,0.0
2015-10-06,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1161.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,0.0,,0.0,,0.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,2.0,,0.0,,21.0,,0.0,0.0,0.0
2015-10-07,0.0,,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1146.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,,0.0,2.0,0.0,0.0,1.0,0.0,9.0,0.0,,0.0,,0.0,,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,,1.0,,16.0,,0.0,0.0,0.0
2015-10-08,0.0,,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1146.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,0.0,,5.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,,0.0,,0.0,,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,,10.0,,0.0,0.0,1.0
2015-10-09,15.0,,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,784.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,,0.0,,12.0,,0.0,0.0,3.0
2015-10-10,36.0,,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,,32.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,0.0,,0.0,,0.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,,0.0,,20.0,,0.0,0.0,1.0
2015-10-11,0.0,,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,33.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,,0.0,,18.0,,0.0,0.0,1.0
2015-10-12,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,,1.0,,26.0,,0.0,0.0,0.0
2015-10-13,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1738.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,6.0,,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,,0.0,,0.0,,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,0.0,,19.0,,0.0,0.0,0.0
2015-10-14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,44.0,6.0,,2.0,3.0,0.0,0.0,1.0,0.0,12.0,0.0,,0.0,,0.0,,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,,0.0,,23.0,,0.0,0.0,0.0
2015-10-15,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,,0.0,,0.0,,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,,0.0,,13.0,,0.0,0.0,1.0
2015-10-16,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,,0.0,,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,,0.0,,16.0,,0.0,0.0,0.0
2015-10-17,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1433.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,,13.0,,0.0,0.0,0.0
2015-10-18,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2143.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,0.0,,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,2.0,,0.0,,21.0,,0.0,0.0,0.0
2015-10-19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,2121.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,,7.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,,0.0,,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,3.0,,1.0,,19.0,,0.0,0.0,0.0
2015-10-20,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,3.0,0.0,0.0,1360.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,33.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,17.0,,0.0,,12.0,,0.0,0.0,0.0
2015-10-21,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,2201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,0.0,,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,29.0,,0.0,,15.0,,0.0,0.0,0.0
2015-10-22,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,2681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,,8.0,,0.0,0.0,0.0
2015-10-23,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2362.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,8.0,,0.0,,9.0,,0.0,0.0,1.0
2015-10-24,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,2243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,,8.0,,0.0,0.0,0.0
2015-10-25,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,2253.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,,8.0,,0.0,0.0,0.0
2015-10-26,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,,0.0,,14.0,,0.0,0.0,0.0
2015-10-27,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2258.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,9.0,,0.0,0.0,0.0
