,[CCT LSU SUPERMIC] Number of Jobs Running,[GATECH KEENELAND] Number of Jobs Running,[GATECH KIDS] Number of Jobs Running,[IU BIGRED*] Number of Jobs Running,[LONI QUEENBEE] Number of Jobs Running,[NCAR FROST] Number of Jobs Running,[NCSA ABE] Number of Jobs Running,[NCSA COBALT] Number of Jobs Running,[NCSA DTF] Number of Jobs Running,[NCSA EMBER*] Number of Jobs Running,[NCSA FORGE] Number of Jobs Running,[NCSA LINCOLN] Number of Jobs Running,[NICS ATHENA] Number of Jobs Running,[NICS DARTER] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[ORNL NSTG] Number of Jobs Running,[OSG] Number of Jobs Running,[PSC BIGBEN] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[PSC BRIDGES LARGE] Number of Jobs Running,[PSC BRIDGES] Number of Jobs Running,[PSC GREENFIELD] Number of Jobs Running,[PSC POPLE] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[PURDUE STEELE] Number of Jobs Running,[SDSC COMET] Number of Jobs Running,[SDSC DASH] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[Stanford XSTREAM] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[TACC LONESTAR] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[TACC MAVERICK2] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[TACC SPUR] Number of Jobs Running,[TACC STAMPEDE] Number of Jobs Running
2010-02-01,,,,44.0,0.0,27.0,2598.0,202.0,292.0,,,36.0,0.0,,1005.0,,64.0,,113.0,,,,,84.0,4686.0,3517.0,,0.0,,,,,206.0,2.0,,813.0,4.0,
2010-02-02,,,,47.0,74.0,28.0,2578.0,346.0,666.0,,,34.0,0.0,,1361.0,,69.0,,30.0,,,,,105.0,4297.0,7167.0,,0.0,,,,,236.0,5.0,,1163.0,5.0,
2010-02-03,,,,69.0,294.0,80.0,1594.0,235.0,807.0,,,144.0,0.0,,47.0,,58.0,,62.0,,,,,94.0,6670.0,2954.0,,0.0,,,,,298.0,0.0,,1435.0,14.0,
2010-02-04,,,,38.0,798.0,51.0,2017.0,170.0,631.0,,,424.0,0.0,,900.0,,58.0,,165.0,,,,,111.0,7366.0,2117.0,,0.0,,,,,270.0,2.0,,1183.0,7.0,
2010-02-05,,,,54.0,311.0,19.0,1981.0,195.0,334.0,,,73.0,0.0,,1153.0,,60.0,,153.0,,,,,132.0,5554.0,5678.0,,0.0,,,,,196.0,3.0,,944.0,4.0,
2010-02-06,,,,57.0,306.0,46.0,2581.0,132.0,364.0,,,425.0,0.0,,780.0,,29.0,,28.0,,,,,40.0,1313.0,518.0,,0.0,,,,,148.0,0.0,,788.0,2.0,
2010-02-07,,,,51.0,236.0,17.0,2234.0,175.0,272.0,,,185.0,0.0,,1265.0,,16.0,,100.0,,,,,46.0,1668.0,391.0,,0.0,,,,,176.0,0.0,,672.0,0.0,
2010-02-08,,,,64.0,492.0,19.0,3193.0,246.0,711.0,,,33.0,0.0,,1719.0,,22.0,,91.0,,,,,49.0,1375.0,504.0,,0.0,,,,,611.0,7.0,,812.0,4.0,
2010-02-09,,,,94.0,324.0,27.0,3268.0,217.0,815.0,,,111.0,0.0,,1966.0,,23.0,,221.0,,,,,187.0,769.0,1114.0,,0.0,,,,,260.0,6.0,,773.0,4.0,
2010-02-10,,,,54.0,513.0,239.0,4880.0,252.0,689.0,,,44.0,0.0,,37.0,,25.0,,75.0,,,,,109.0,777.0,7052.0,,0.0,,,,,292.0,7.0,,768.0,3.0,
2010-02-11,,,,115.0,341.0,269.0,3406.0,260.0,502.0,,,645.0,0.0,,1148.0,,32.0,,127.0,,,,,148.0,776.0,11161.0,,0.0,,,,,188.0,21.0,,742.0,3.0,
2010-02-12,,,,62.0,306.0,34.0,2131.0,163.0,549.0,,,26.0,0.0,,1537.0,,39.0,,48.0,,,,,105.0,4209.0,10175.0,,0.0,,,,,284.0,9.0,,615.0,3.0,
2010-02-13,,,,39.0,182.0,22.0,1343.0,232.0,521.0,,,21.0,0.0,,1301.0,,55.0,,110.0,,,,,127.0,493.0,11324.0,,0.0,,,,,185.0,0.0,,616.0,3.0,
2010-02-14,,,,55.0,258.0,5.0,1574.0,147.0,401.0,,,32.0,0.0,,1323.0,,54.0,,49.0,,,,,116.0,476.0,2788.0,,0.0,,,,,154.0,0.0,,618.0,5.0,
2010-02-15,,,,74.0,292.0,38.0,2438.0,289.0,556.0,,,73.0,0.0,,1931.0,,56.0,,140.0,,,,,141.0,507.0,9090.0,,0.0,,,,,346.0,2.0,,697.0,2.0,
2010-02-16,,,,65.0,266.0,46.0,1118.0,272.0,814.0,,,142.0,0.0,,970.0,,59.0,,178.0,,,,,133.0,613.0,7800.0,,0.0,,,,,360.0,13.0,,614.0,2.0,
2010-02-17,,,,36.0,14.0,77.0,2077.0,229.0,745.0,,,95.0,0.0,,1030.0,,76.0,,569.0,,,,,156.0,4628.0,5649.0,,0.0,,,,,346.0,48.0,,719.0,2.0,
2010-02-18,,,,43.0,0.0,343.0,3049.0,316.0,647.0,,,87.0,0.0,,1563.0,,63.0,,784.0,,,,,153.0,5090.0,4991.0,,0.0,,,,,330.0,24.0,,812.0,1.0,
2010-02-19,,,,49.0,0.0,150.0,1204.0,299.0,449.0,,,105.0,0.0,,1549.0,,58.0,,783.0,,,,,165.0,6238.0,8531.0,,0.0,,,,,566.0,3.0,,752.0,2.0,
2010-02-20,,,,27.0,0.0,56.0,1113.0,233.0,553.0,,,90.0,0.0,,1255.0,,56.0,,539.0,,,,,139.0,9031.0,3910.0,,0.0,,,,,255.0,0.0,,731.0,0.0,
2010-02-21,,,,23.0,1.0,35.0,1702.0,181.0,960.0,,,94.0,0.0,,1466.0,,58.0,,819.0,,,,,108.0,4953.0,4785.0,,0.0,,,,,233.0,0.0,,639.0,1.0,
2010-02-22,,,,34.0,44.0,82.0,3108.0,172.0,756.0,,,140.0,0.0,,1841.0,,70.0,,594.0,,,,,209.0,3733.0,1374.0,,0.0,,,,,425.0,7.0,,844.0,4.0,
2010-02-23,,,,97.0,301.0,69.0,1575.0,289.0,827.0,,,92.0,0.0,,1534.0,,70.0,,783.0,,,,,153.0,3286.0,1359.0,,0.0,,,,,309.0,7.0,,755.0,5.0,
2010-02-24,,,,92.0,279.0,45.0,1238.0,302.0,1219.0,,,489.0,0.0,,359.0,,60.0,,107.0,,,,,148.0,3371.0,1187.0,,0.0,,,,,289.0,6.0,,682.0,3.0,
2010-02-25,,,,149.0,282.0,43.0,1247.0,380.0,1460.0,,,311.0,0.0,,188.0,,73.0,,137.0,,,,,189.0,3086.0,2774.0,,0.0,,,,,542.0,41.0,,759.0,1.0,
2010-02-26,,,,171.0,482.0,94.0,1028.0,222.0,2053.0,,,37.0,0.0,,1754.0,,62.0,,408.0,,,,,138.0,1808.0,3818.0,,0.0,,,,,330.0,27.0,,1127.0,0.0,
2010-02-27,,,,123.0,653.0,25.0,377.0,178.0,1426.0,,,32.0,0.0,,1354.0,,59.0,,1046.0,,,,,145.0,2123.0,1300.0,,0.0,,,,,291.0,3.0,,888.0,4.0,
2010-02-28,,,,133.0,171.0,62.0,525.0,154.0,1003.0,,,34.0,0.0,,798.0,,56.0,,539.0,,,,,266.0,2720.0,3247.0,,0.0,,,,,293.0,13.0,,935.0,4.0,
2010-03-01,,,,321.0,103.0,37.0,1062.0,176.0,872.0,,,84.0,0.0,,1197.0,,59.0,,117.0,,,,,201.0,4206.0,3945.0,,0.0,,,,,229.0,49.0,,920.0,4.0,
2010-03-02,,,,35.0,190.0,79.0,1342.0,294.0,420.0,,,70.0,0.0,,945.0,,58.0,,271.0,,,,,431.0,9030.0,1579.0,,0.0,,,,,2718.0,54.0,,918.0,5.0,
2010-03-03,,,,39.0,212.0,139.0,2032.0,280.0,431.0,,,69.0,0.0,,20.0,,57.0,,830.0,,,,,181.0,8142.0,2026.0,,0.0,,,,,2047.0,59.0,,913.0,5.0,
2010-03-04,,,,41.0,386.0,129.0,1501.0,426.0,434.0,,,74.0,0.0,,7.0,,60.0,,282.0,,,,,143.0,7908.0,1817.0,,0.0,,,,,1414.0,80.0,,1087.0,5.0,
2010-03-05,,,,91.0,463.0,23.0,1443.0,352.0,519.0,,,69.0,0.0,,9.0,,60.0,,104.0,,,,,262.0,4331.0,1470.0,,0.0,,,,,220.0,12.0,,942.0,9.0,
2010-03-06,,,,173.0,148.0,32.0,1786.0,333.0,371.0,,,41.0,0.0,,769.0,,54.0,,536.0,,,,,70.0,6647.0,3559.0,,0.0,,,,,288.0,8.0,,1045.0,0.0,
2010-03-07,,,,77.0,787.0,54.0,3413.0,390.0,399.0,,,61.0,0.0,,900.0,,52.0,,279.0,,,,,79.0,6070.0,6311.0,,0.0,,,,,241.0,6.0,,955.0,2.0,
2010-03-08,,,,67.0,595.0,46.0,1400.0,270.0,423.0,,,18.0,0.0,,1911.0,,63.0,,97.0,,,,,190.0,9845.0,11202.0,,0.0,,,,,262.0,17.0,,973.0,3.0,
2010-03-09,,,,61.0,459.0,53.0,1827.0,280.0,379.0,,,56.0,0.0,,1611.0,,68.0,,96.0,,,,,299.0,11494.0,11416.0,,0.0,,,,,299.0,50.0,,1000.0,3.0,
2010-03-10,,,,34.0,419.0,29.0,1384.0,332.0,409.0,,,58.0,0.0,,33.0,,69.0,,65.0,,,,,152.0,6786.0,4827.0,,0.0,,,,,258.0,82.0,,1059.0,3.0,
2010-03-11,,,,27.0,262.0,27.0,2718.0,339.0,569.0,,,35.0,0.0,,62.0,,63.0,,156.0,,,,,125.0,4917.0,5134.0,,0.0,,,,,195.0,117.0,,814.0,9.0,
2010-03-12,,,,21.0,670.0,20.0,4440.0,235.0,398.0,,,30.0,0.0,,1478.0,,61.0,,269.0,,,,,174.0,6505.0,3332.0,,0.0,,,,,151.0,49.0,,857.0,3.0,
2010-03-13,,,,16.0,171.0,15.0,1302.0,181.0,414.0,,,7.0,0.0,,874.0,,55.0,,1454.0,,,,,189.0,7335.0,628.0,,0.0,,,,,80.0,28.0,,448.0,0.0,
2010-03-14,,,,38.0,254.0,14.0,1174.0,267.0,389.0,,,47.0,0.0,,840.0,,51.0,,605.0,,,,,55.0,19734.0,1554.0,,0.0,,,,,74.0,70.0,,452.0,0.0,
2010-03-15,,,,24.0,258.0,16.0,1668.0,221.0,355.0,,,113.0,0.0,,1266.0,,63.0,,351.0,,,,,53.0,26162.0,3818.0,,0.0,,,,,194.0,40.0,,955.0,1.0,
2010-03-16,,,,91.0,342.0,80.0,1306.0,355.0,652.0,,,52.0,0.0,,1787.0,,53.0,,611.0,,,,,151.0,14882.0,2689.0,,0.0,,,,,183.0,28.0,,418.0,4.0,
2010-03-17,,,,79.0,236.0,120.0,382.0,327.0,545.0,,,3.0,0.0,,101.0,,41.0,,601.0,,,,,171.0,5643.0,2978.0,,0.0,,,,,285.0,2.0,,1182.0,6.0,
2010-03-18,,,,63.0,276.0,30.0,1546.0,329.0,1904.0,,,85.0,0.0,,791.0,,63.0,,119.0,,,,,146.0,20887.0,6234.0,,0.0,,,,,229.0,6.0,,1212.0,8.0,
2010-03-19,,,,72.0,436.0,18.0,1161.0,303.0,784.0,,,74.0,0.0,,2133.0,,59.0,,75.0,,,,,103.0,16121.0,7380.0,,0.0,,,,,275.0,7.0,,1034.0,7.0,
2010-03-20,,,,78.0,347.0,12.0,1522.0,209.0,388.0,,,43.0,0.0,,1597.0,,53.0,,104.0,,,,,130.0,11518.0,3332.0,,0.0,,,,,253.0,0.0,,936.0,10.0,
2010-03-21,,,,53.0,250.0,8.0,1201.0,240.0,470.0,,,13.0,0.0,,1196.0,,30.0,,65.0,,,,,62.0,10811.0,1993.0,,0.0,,,,,512.0,0.0,,958.0,7.0,
2010-03-22,,,,44.0,214.0,13.0,1395.0,447.0,571.0,,,19.0,0.0,,1377.0,,33.0,,167.0,,,,,106.0,26588.0,1590.0,,0.0,,,,,409.0,8.0,,1169.0,9.0,
2010-03-23,,,,48.0,310.0,11.0,2536.0,477.0,445.0,,,32.0,0.0,,1269.0,,57.0,,212.0,,,,,188.0,8057.0,3513.0,,0.0,,,,,619.0,0.0,,1318.0,7.0,
2010-03-24,,,,88.0,394.0,33.0,3037.0,246.0,383.0,,,72.0,0.0,,93.0,,56.0,,163.0,,,,,245.0,29255.0,6517.0,,0.0,,,,,310.0,46.0,,1302.0,10.0,
2010-03-25,,,,49.0,499.0,11.0,3264.0,453.0,515.0,,,107.0,0.0,,29.0,,58.0,,133.0,,,,,262.0,19160.0,5967.0,,0.0,,,,,246.0,16.0,,994.0,0.0,
2010-03-26,,,,59.0,294.0,12.0,1330.0,432.0,467.0,,,113.0,0.0,,794.0,,61.0,,131.0,,,,,453.0,20557.0,10149.0,,0.0,,,,,364.0,33.0,,1530.0,1.0,
2010-03-27,,,,84.0,694.0,9.0,1036.0,207.0,472.0,,,95.0,0.0,,1372.0,,70.0,,75.0,,,,,217.0,16074.0,4981.0,,0.0,,,,,259.0,6.0,,1237.0,3.0,
2010-03-28,,,,82.0,362.0,5.0,1465.0,261.0,418.0,,,49.0,0.0,,1391.0,,69.0,,76.0,,,,,281.0,30241.0,6398.0,,0.0,,,,,212.0,14.0,,961.0,0.0,
2010-03-29,,,,84.0,255.0,18.0,1820.0,347.0,389.0,,,40.0,0.0,,1633.0,,74.0,,218.0,,,,,346.0,39784.0,12833.0,,0.0,,,,,245.0,71.0,,1213.0,4.0,
2010-03-30,,,,92.0,242.0,16.0,2706.0,263.0,310.0,,,112.0,0.0,,1186.0,,68.0,,407.0,,,,,200.0,21583.0,1458.0,,0.0,,,,,251.0,12.0,,1178.0,8.0,
2010-03-31,,,,259.0,364.0,20.0,1488.0,355.0,170.0,,,86.0,0.0,,86.0,,72.0,,297.0,,,,,100.0,4654.0,1426.0,,0.0,,,,,376.0,17.0,,1057.0,7.0,
2010-04-01,,,,73.0,506.0,11.0,1246.0,400.0,28.0,,,15.0,8.0,,5.0,,61.0,,0.0,,,,,120.0,38927.0,1643.0,,0.0,,,,,425.0,26.0,,1162.0,6.0,
2010-04-02,,,,54.0,332.0,16.0,300.0,256.0,0.0,,,5.0,28.0,,587.0,,39.0,,0.0,,,,,91.0,39924.0,1546.0,,0.0,,,,,450.0,29.0,,1229.0,6.0,
2010-04-03,,,,39.0,477.0,10.0,105.0,452.0,0.0,,,3.0,51.0,,1795.0,,16.0,,0.0,,,,,64.0,19810.0,1050.0,,0.0,,,,,236.0,4.0,,933.0,3.0,
2010-04-04,,,,29.0,227.0,9.0,68.0,184.0,0.0,,,3.0,57.0,,2621.0,,17.0,,0.0,,,,,136.0,14782.0,832.0,,0.0,,,,,205.0,3.0,,1131.0,0.0,
2010-04-05,,,,88.0,1093.0,6.0,1208.0,381.0,0.0,,,63.0,96.0,,1597.0,,52.0,,0.0,,,,,301.0,28550.0,1319.0,,0.0,,,,,330.0,59.0,,1081.0,6.0,
2010-04-06,,,,133.0,681.0,16.0,1632.0,407.0,0.0,,,81.0,74.0,,221.0,,56.0,,0.0,,,,,213.0,46373.0,1381.0,,0.0,,,,,187.0,6.0,,1175.0,7.0,
2010-04-07,,,,102.0,254.0,9.0,1718.0,421.0,0.0,,,86.0,150.0,,17.0,,64.0,,0.0,,,,,207.0,41559.0,8756.0,,0.0,,,,,321.0,59.0,,1054.0,6.0,
2010-04-08,,,,90.0,334.0,8.0,2054.0,374.0,0.0,,,22.0,259.0,,194.0,,63.0,,0.0,,,,,254.0,61248.0,7979.0,,0.0,,,,,483.0,19.0,,1019.0,4.0,
2010-04-09,,,,97.0,289.0,2.0,2190.0,332.0,0.0,,,12.0,477.0,,1197.0,,55.0,,0.0,,,,,145.0,36321.0,7502.0,,0.0,,,,,570.0,23.0,,1213.0,12.0,
2010-04-10,,,,108.0,242.0,0.0,2882.0,380.0,0.0,,,7.0,13.0,,1669.0,,55.0,,0.0,,,,,161.0,47823.0,10995.0,,0.0,,,,,237.0,16.0,,1190.0,5.0,
2010-04-11,,,,105.0,199.0,3.0,3043.0,270.0,0.0,,,8.0,2.0,,957.0,,53.0,,0.0,,,,,102.0,67350.0,8425.0,,0.0,,,,,382.0,22.0,,950.0,3.0,
2010-04-12,,,,125.0,264.0,4.0,1263.0,474.0,0.0,,,10.0,79.0,,723.0,,64.0,,0.0,,,,,140.0,64863.0,3464.0,,0.0,,,,,391.0,39.0,,1326.0,2.0,
2010-04-13,,,,113.0,307.0,5.0,3087.0,308.0,0.0,,,27.0,261.0,,672.0,,39.0,,0.0,,,,,131.0,51642.0,3600.0,,0.0,,,,,373.0,51.0,,1341.0,4.0,
2010-04-14,,,,100.0,377.0,13.0,4585.0,290.0,0.0,,,62.0,377.0,,517.0,,22.0,,0.0,,,,,106.0,27549.0,8163.0,,0.0,,,,,514.0,92.0,,1447.0,3.0,
2010-04-15,,,,68.0,387.0,11.0,5165.0,246.0,0.0,,,61.0,361.0,,635.0,,23.0,,0.0,,,,,109.0,17696.0,1567.0,,0.0,,,,,331.0,66.0,,1153.0,6.0,
2010-04-16,,,,78.0,288.0,18.0,4270.0,218.0,0.0,,,57.0,403.0,,702.0,,23.0,,0.0,,,,,106.0,16554.0,1363.0,,0.0,,,,,365.0,66.0,,1194.0,18.0,
2010-04-17,,,,76.0,314.0,9.0,2268.0,137.0,0.0,,,53.0,82.0,,679.0,,17.0,,0.0,,,,,0.0,14230.0,1342.0,,0.0,,,,,335.0,53.0,,729.0,13.0,
2010-04-18,,,,115.0,228.0,7.0,2668.0,205.0,0.0,,,54.0,117.0,,586.0,,17.0,,0.0,,,,,42.0,24101.0,1685.0,,0.0,,,,,354.0,23.0,,828.0,7.0,
2010-04-19,,,,131.0,397.0,31.0,2504.0,238.0,0.0,,,85.0,737.0,,1249.0,,26.0,,0.0,,,,,126.0,30881.0,4484.0,,0.0,,,,,371.0,7.0,,1242.0,11.0,
2010-04-20,,,,132.0,336.0,22.0,1987.0,340.0,0.0,,,74.0,581.0,,1351.0,,23.0,,0.0,,,,,178.0,37713.0,7905.0,,0.0,,,,,297.0,5.0,,1177.0,9.0,
2010-04-21,,,,111.0,290.0,15.0,1719.0,212.0,0.0,,,66.0,610.0,,553.0,,34.0,,0.0,,,,,151.0,29078.0,1484.0,,0.0,,,,,335.0,13.0,,1159.0,19.0,
2010-04-22,,,,87.0,435.0,7.0,2120.0,241.0,0.0,,,88.0,809.0,,1105.0,,65.0,,0.0,,,,,144.0,20029.0,2040.0,,0.0,,,,,298.0,21.0,,1179.0,13.0,
2010-04-23,,,,97.0,350.0,7.0,3125.0,261.0,0.0,,,111.0,351.0,,799.0,,59.0,,0.0,,,,,139.0,18007.0,1436.0,,1.0,,,,,241.0,25.0,,1153.0,12.0,
2010-04-24,,,,76.0,267.0,60.0,3824.0,326.0,0.0,,,134.0,285.0,,667.0,,49.0,,0.0,,,,,58.0,19798.0,2561.0,,0.0,,,,,242.0,14.0,,875.0,4.0,
2010-04-25,,,,72.0,193.0,17.0,2927.0,215.0,0.0,,,75.0,1128.0,,634.0,,57.0,,0.0,,,,,172.0,20927.0,1527.0,,0.0,,,,,273.0,35.0,,1170.0,5.0,
2010-04-26,,,,73.0,330.0,7.0,2837.0,401.0,0.0,,,70.0,1218.0,,865.0,,52.0,,0.0,,,,,151.0,13283.0,2376.0,,0.0,,,,,311.0,65.0,,1367.0,11.0,
2010-04-27,,,,73.0,398.0,70.0,2148.0,214.0,0.0,,,127.0,1637.0,,704.0,,65.0,,0.0,,,,,181.0,22242.0,1743.0,,2.0,,,,,364.0,74.0,,1228.0,9.0,
2010-04-28,,,,78.0,290.0,133.0,3380.0,276.0,0.0,,,81.0,1931.0,,727.0,,65.0,,0.0,,,,,132.0,21029.0,3507.0,,3.0,,,,,395.0,78.0,,1157.0,5.0,
2010-04-29,,,,71.0,458.0,18.0,4554.0,383.0,0.0,,,121.0,1612.0,,1094.0,,62.0,,0.0,,,,,359.0,13097.0,1820.0,,5.0,,,,,265.0,49.0,,1213.0,8.0,
2010-04-30,,,,63.0,173.0,38.0,2855.0,306.0,0.0,,,35.0,642.0,,1142.0,,39.0,,0.0,,,,,378.0,10247.0,1380.0,,2.0,,,,,245.0,42.0,,1268.0,4.0,
2010-05-01,,,,51.0,116.0,14.0,1938.0,122.0,0.0,,,97.0,219.0,,1371.0,,16.0,,0.0,,,,,180.0,2617.0,1015.0,,1.0,,,,,184.0,38.0,,1065.0,4.0,
2010-05-02,,,,39.0,92.0,18.0,2556.0,100.0,0.0,,,59.0,805.0,,970.0,,24.0,,0.0,,,,,184.0,2537.0,5629.0,,1.0,,,,,114.0,39.0,,1471.0,3.0,
2010-05-03,,,,46.0,217.0,34.0,1255.0,397.0,0.0,,,78.0,1009.0,,872.0,,42.0,,0.0,,,,,289.0,2962.0,4938.0,,1.0,,,,,352.0,57.0,,1545.0,5.0,
2010-05-04,,,,29.0,242.0,36.0,2020.0,340.0,0.0,,,73.0,1038.0,,1048.0,,68.0,,0.0,,,,,123.0,10766.0,776.0,,1.0,,,,,339.0,48.0,,573.0,0.0,
2010-05-05,,,,31.0,211.0,26.0,1706.0,361.0,0.0,,,114.0,1045.0,,1325.0,,65.0,,0.0,,,,,166.0,11135.0,1031.0,,2.0,,,,,301.0,44.0,,1100.0,0.0,
2010-05-06,,,,62.0,200.0,14.0,1465.0,399.0,0.0,,,72.0,1040.0,,968.0,,58.0,,0.0,,,,,161.0,8863.0,917.0,,0.0,,,,,230.0,48.0,,1383.0,13.0,
2010-05-07,,,,44.0,446.0,23.0,1621.0,521.0,0.0,,,71.0,93.0,,1009.0,,57.0,,0.0,,,,,167.0,11181.0,2023.0,,2.0,,,,,262.0,51.0,,1100.0,3.0,
2010-05-08,,,,40.0,210.0,21.0,1165.0,229.0,0.0,,,33.0,36.0,,177.0,,52.0,,0.0,,,,,125.0,23842.0,7312.0,,4.0,,,,,299.0,42.0,,827.0,4.0,
2010-05-09,,,,41.0,115.0,26.0,854.0,282.0,0.0,,,22.0,971.0,,634.0,,53.0,,0.0,,,,,98.0,29976.0,4984.0,,2.0,,,,,281.0,45.0,,867.0,2.0,
2010-05-10,,,,36.0,188.0,19.0,1806.0,472.0,0.0,,,34.0,984.0,,1337.0,,64.0,,0.0,,,,,155.0,46190.0,5990.0,,3.0,,,,,289.0,55.0,,1184.0,11.0,
2010-05-11,,,,34.0,236.0,18.0,1828.0,377.0,0.0,,,52.0,986.0,,1449.0,,60.0,,0.0,,,,,163.0,31615.0,7935.0,,10.0,,,,,287.0,84.0,,900.0,8.0,
2010-05-12,,,,37.0,339.0,16.0,2152.0,319.0,0.0,,,25.0,1003.0,,1758.0,,57.0,,0.0,,,,,117.0,27927.0,5612.0,,12.0,,,,,323.0,66.0,,986.0,8.0,
2010-05-13,,,,41.0,384.0,14.0,1497.0,303.0,0.0,,,59.0,308.0,,1473.0,,44.0,,0.0,,,,,246.0,39748.0,4100.0,,20.0,,,,,199.0,66.0,,847.0,4.0,
2010-05-14,,,,43.0,251.0,14.0,2288.0,174.0,0.0,,,48.0,0.0,,0.0,,0.0,,0.0,,,,,240.0,30505.0,964.0,,21.0,,,,,285.0,91.0,,769.0,6.0,
2010-05-15,,,,41.0,227.0,20.0,2835.0,90.0,0.0,,,88.0,0.0,,0.0,,0.0,,0.0,,,,,265.0,30403.0,956.0,,6.0,,,,,185.0,42.0,,1014.0,2.0,
2010-05-16,,,,46.0,288.0,15.0,1453.0,154.0,0.0,,,31.0,960.0,,174.0,,15.0,,0.0,,,,,162.0,34092.0,8236.0,,9.0,,,,,223.0,49.0,,813.0,1.0,
2010-05-17,,,,41.0,149.0,17.0,12226.0,291.0,0.0,,,69.0,1004.0,,751.0,,61.0,,0.0,,,,,150.0,41734.0,916.0,,7.0,,,,,258.0,79.0,,923.0,12.0,
2010-05-18,,,,48.0,233.0,20.0,4663.0,285.0,0.0,,,74.0,989.0,,1103.0,,79.0,,0.0,,,,,195.0,54881.0,742.0,,11.0,,,,,240.0,103.0,,874.0,7.0,
2010-05-19,,,,75.0,256.0,20.0,2388.0,358.0,0.0,,,46.0,992.0,,930.0,,81.0,,0.0,,,,,213.0,58204.0,2876.0,,2.0,,,,,201.0,106.0,,1025.0,6.0,
2010-05-20,,,,70.0,291.0,13.0,1840.0,298.0,0.0,,,58.0,75.0,,959.0,,63.0,,0.0,,,,,163.0,86799.0,5213.0,,1.0,,,,,315.0,68.0,,1007.0,9.0,
2010-05-21,,,,80.0,180.0,7.0,4057.0,296.0,0.0,,,49.0,4.0,,1828.0,,53.0,,0.0,,,,,134.0,63013.0,1704.0,,4.0,,,,,365.0,69.0,,1040.0,3.0,
2010-05-22,,,,72.0,154.0,10.0,1022.0,274.0,0.0,,,30.0,45.0,,902.0,,57.0,,0.0,,,,,66.0,76492.0,1918.0,,1.0,,,,,237.0,32.0,,963.0,3.0,
2010-05-23,,,,67.0,93.0,9.0,3257.0,250.0,0.0,,,29.0,943.0,,670.0,,60.0,,0.0,,,,,76.0,46979.0,8004.0,,3.0,,,,,247.0,44.0,,828.0,1.0,
2010-05-24,,,,103.0,231.0,8.0,3475.0,528.0,0.0,,,213.0,998.0,,1275.0,,66.0,,0.0,,,,,127.0,39579.0,7481.0,,9.0,,,,,286.0,69.0,,1016.0,2.0,
2010-05-25,,,,374.0,173.0,10.0,2011.0,251.0,0.0,,,877.0,998.0,,1162.0,,60.0,,0.0,,,,,111.0,45363.0,4593.0,,7.0,,,,,218.0,10.0,,1160.0,5.0,
2010-05-26,,,,221.0,2770.0,17.0,2321.0,726.0,0.0,,,1030.0,980.0,,221.0,,56.0,,0.0,,,,,169.0,57901.0,8851.0,,3.0,,,,,308.0,55.0,,955.0,9.0,
2010-05-27,,,,74.0,858.0,9.0,2941.0,352.0,0.0,,,30.0,957.0,,80.0,,61.0,,0.0,,,,,128.0,65790.0,7858.0,,4.0,,,,,445.0,46.0,,1133.0,1.0,
2010-05-28,,,,66.0,460.0,7.0,2819.0,512.0,0.0,,,29.0,107.0,,484.0,,60.0,,0.0,,,,,292.0,74875.0,5008.0,,8.0,,,,,428.0,42.0,,1004.0,4.0,
2010-05-29,,,,182.0,298.0,8.0,2864.0,315.0,0.0,,,38.0,36.0,,367.0,,55.0,,0.0,,,,,157.0,60709.0,1828.0,,9.0,,,,,181.0,10.0,,925.0,6.0,
2010-05-30,,,,63.0,264.0,7.0,1280.0,228.0,0.0,,,18.0,993.0,,393.0,,56.0,,0.0,,,,,168.0,85640.0,2837.0,,3.0,,,,,176.0,9.0,,824.0,2.0,
2010-05-31,,,,66.0,192.0,8.0,1604.0,336.0,0.0,,,39.0,1003.0,,940.0,,48.0,,0.0,,,,,129.0,62631.0,1721.0,,1.0,,,,,197.0,8.0,,1049.0,2.0,
2010-06-01,,,,39.0,2464.0,10.0,975.0,304.0,0.0,,,17.0,2239.0,,2110.0,,35.0,,0.0,,,,,156.0,18187.0,3691.0,,0.0,,,,,304.0,76.0,,1195.0,5.0,
2010-06-02,,,,48.0,2452.0,13.0,820.0,430.0,0.0,,,29.0,2100.0,,131.0,,0.0,,0.0,,,,,207.0,16170.0,10186.0,,3.0,,,,,191.0,28.0,,1283.0,0.0,
2010-06-03,,,,42.0,761.0,46.0,2203.0,490.0,0.0,,,68.0,1763.0,,1204.0,,26.0,,0.0,,,,,120.0,36285.0,3284.0,,0.0,,,,,184.0,26.0,,1157.0,2.0,
2010-06-04,,,,53.0,7991.0,52.0,3841.0,419.0,0.0,,,42.0,1125.0,,1199.0,,55.0,,0.0,,,,,167.0,30865.0,2349.0,,0.0,,,,,282.0,19.0,,1149.0,6.0,
