,[10] Number of Jobs Started,[11] Number of Jobs Started,[12] Number of Jobs Started,[13] Number of Jobs Started,[14] Number of Jobs Started,[15] Number of Jobs Started,[16] Number of Jobs Started,[17] Number of Jobs Started,[18] Number of Jobs Started,[19] Number of Jobs Started,[1] Number of Jobs Started,[20] Number of Jobs Started,[21] Number of Jobs Started,[22] Number of Jobs Started,[23] Number of Jobs Started,[24] Number of Jobs Started,[25] Number of Jobs Started,[26] Number of Jobs Started,[27] Number of Jobs Started,[28] Number of Jobs Started,[29] Number of Jobs Started,[2] Number of Jobs Started,[30] Number of Jobs Started,[31] Number of Jobs Started,[32] Number of Jobs Started,[33] Number of Jobs Started,[34] Number of Jobs Started,[35] Number of Jobs Started,[36] Number of Jobs Started,[37] Number of Jobs Started,[38] Number of Jobs Started,[39] Number of Jobs Started,[3] Number of Jobs Started,[40] Number of Jobs Started,[41] Number of Jobs Started,[42] Number of Jobs Started,[43] Number of Jobs Started,[44] Number of Jobs Started,[45] Number of Jobs Started,[46] Number of Jobs Started,[47] Number of Jobs Started,[48] Number of Jobs Started,[49] Number of Jobs Started,[4] Number of Jobs Started,[50] Number of Jobs Started,[51] Number of Jobs Started,[52] Number of Jobs Started,[53] Number of Jobs Started,[54] Number of Jobs Started,[55] Number of Jobs Started,[56] Number of Jobs Started,[57] Number of Jobs Started,[58] Number of Jobs Started,[59] Number of Jobs Started,[5] Number of Jobs Started,[60] Number of Jobs Started,[61] Number of Jobs Started,[62] Number of Jobs Started,[63] Number of Jobs Started,[64] Number of Jobs Started,[65] Number of Jobs Started,[66] Number of Jobs Started,[67] Number of Jobs Started,[68] Number of Jobs Started,[6] Number of Jobs Started,[70] Number of Jobs Started,[71] Number of Jobs Started,[72] Number of Jobs Started,[7] Number of Jobs Started,[8] Number of Jobs Started,[9] Number of Jobs Started
2015-09-04,12.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,406.0,23.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,290.0,10.0,0.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,0.0,14.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,32.0,2.0
2015-09-05,4.0,10.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,425.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,2720.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,5.0
2015-09-06,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,212.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,1468.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,4.0
2015-09-07,8.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,103.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.0,2.0
2015-09-08,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,2.0
2015-09-09,7.0,5.0,8.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,578.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,297.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,31.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,48.0,3.0
2015-09-10,6.0,1.0,13.0,0.0,0.0,3.0,6.0,9.0,0.0,0.0,860.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,247.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,92.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,26.0,5.0
2015-09-11,14.0,3.0,3.0,8.0,0.0,6.0,6.0,0.0,0.0,0.0,3406.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,269.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,2.0,0.0,260.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9.0,2.0,,,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,41.0,4.0
2015-09-12,17.0,4.0,13.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,696.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,276.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,,,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,8.0,5.0
2015-09-13,2.0,1.0,4.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,3513.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,104.0,2.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,3.0
2015-09-14,16.0,1.0,20.0,0.0,0.0,3.0,15.0,4.0,1.0,1.0,6148.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,347.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,45.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,21.0,3.0
2015-09-15,8.0,0.0,8.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,5714.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,418.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,145.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,29.0,4.0
2015-09-16,24.0,3.0,99.0,0.0,0.0,2.0,17.0,0.0,1.0,0.0,7046.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,274.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,141.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,12.0,0.0,,,0.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,10.0,4.0
2015-09-17,16.0,2.0,7.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,6837.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,232.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,117.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,36.0,2.0
2015-09-18,11.0,2.0,8.0,0.0,0.0,1.0,46.0,0.0,1.0,0.0,3028.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,2.0,0.0,36.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,9.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,177.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,25.0,0.0,,,0.0,3.0,0.0,0.0,0.0,1.0,14.0,4.0,0.0,4.0,0.0,46.0,4.0
2015-09-19,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,315.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,184.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,16.0,0.0
2015-09-20,4.0,2.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,404.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,263.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,,,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,43.0,2.0
2015-09-21,2.0,0.0,6.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,928.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,,0.0,0.0,192.0,2.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,,,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,345.0,3.0
2015-09-22,4.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,678.0,12.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,36.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7.0,5.0,,,0.0,6.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,2.0,0.0,84.0,5.0
2015-09-23,12.0,2.0,11.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,691.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,99.0,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,3.0,38.0,5.0
2015-09-24,10.0,5.0,6.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,558.0,31.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,289.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,100.0,1.0,4.0,0.0,,13.0,0.0,0.0,0.0,0.0,,3.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,26.0,0.0
2015-09-25,4.0,2.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1211.0,9.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,75.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,6.0,0.0,,,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,7.0,2.0
2015-09-26,2.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,207.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,10.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,12.0
2015-09-27,4.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,383.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,132.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,,,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,7.0
2015-09-28,4.0,1.0,13.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,379.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,,,0.0,17.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,4.0,0.0,18.0,0.0
2015-09-29,27.0,1.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,521.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,52.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14.0,0.0,,,0.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,24.0,0.0
2015-09-30,13.0,0.0,8.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,643.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,32.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,5.0,3.0,,,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,71.0,0.0
2015-10-01,18.0,0.0,15.0,0.0,4.0,1.0,19.0,0.0,0.0,0.0,1401.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,93.0,1.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,,10.0,0.0,,,0.0,9.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,1.0,65.0,0.0
2015-10-02,23.0,3.0,13.0,0.0,17.0,0.0,16.0,0.0,0.0,0.0,4031.0,3.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,195.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,,3.0,0.0,138.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,,,0.0,8.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,5.0,0.0,52.0,8.0
2015-10-03,16.0,0.0,9.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,3648.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,45.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,10.0,0.0
2015-10-04,6.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2404.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,82.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,4.0
2015-10-05,16.0,3.0,10.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1583.0,1.0,6.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,81.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,,0.0,4.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,3.0,0.0,27.0,8.0
2015-10-06,86.0,1.0,18.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,1193.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,447.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,140.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,16.0,9.0
2015-10-07,78.0,0.0,26.0,0.0,0.0,4.0,16.0,1.0,0.0,0.0,1494.0,6.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,41.0,4.0,6.0,0.0,0.0,5.0,0.0,0.0,,1.0,0.0,69.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14.0,10.0,,,0.0,4.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,69.0,15.0
2015-10-08,72.0,0.0,214.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,3024.0,8.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,320.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,43.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,,,0.0,12.0,3.0,1.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,147.0,3.0
2015-10-09,13.0,0.0,16.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,2296.0,5.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,,,0.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,71.0,1.0
2015-10-10,18.0,0.0,81.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,1598.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,3.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,40.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,,,0.0,5.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,1.0,0.0,34.0,4.0
2015-10-11,27.0,0.0,11.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,1228.0,2.0,4.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,214.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,72.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,15.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,41.0,0.0
2015-10-12,11.0,0.0,48.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1337.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,538.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,209.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,6.0,5.0,,,0.0,6.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,1.0,0.0,31.0,0.0
2015-10-13,11.0,0.0,139.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,1962.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,253.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,18.0,0.0,,,0.0,4.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,7.0,0.0,71.0,2.0
2015-10-14,7.0,0.0,168.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,3861.0,6.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,409.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,372.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,13.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,2.0,0.0,107.0,0.0
2015-10-15,3.0,0.0,34.0,0.0,4.0,3.0,13.0,0.0,2.0,1.0,3966.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,403.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,362.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,2.0,1.0,93.0,5.0
2015-10-16,6.0,0.0,19.0,0.0,13.0,0.0,8.0,2.0,11.0,0.0,1220.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,346.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,204.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,24.0,0.0,,,0.0,4.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,1.0,2.0,47.0,4.0
2015-10-17,10.0,0.0,7.0,0.0,6.0,1.0,3.0,0.0,11.0,0.0,1154.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,151.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,4.0,93.0,0.0
2015-10-18,7.0,0.0,67.0,0.0,7.0,0.0,12.0,4.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,139.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,178.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,16.0,24.0,3.0
2015-10-19,9.0,0.0,185.0,0.0,6.0,0.0,21.0,0.0,1.0,0.0,5502.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,65.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,,,0.0,3.0,0.0,0.0,0.0,0.0,54.0,2.0,0.0,0.0,38.0,69.0,0.0
2015-10-20,27.0,2.0,168.0,0.0,6.0,0.0,34.0,0.0,0.0,0.0,6509.0,11.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,310.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,0.0,34.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,16.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,2.0,12.0,89.0,6.0
