,[10] Number of Jobs Started,[11] Number of Jobs Started,[12] Number of Jobs Started,[13] Number of Jobs Started,[14] Number of Jobs Started,[15] Number of Jobs Started,[16] Number of Jobs Started,[17] Number of Jobs Started,[18] Number of Jobs Started,[19] Number of Jobs Started,[1] Number of Jobs Started,[20] Number of Jobs Started,[21] Number of Jobs Started,[22] Number of Jobs Started,[23] Number of Jobs Started,[24] Number of Jobs Started,[25] Number of Jobs Started,[26] Number of Jobs Started,[27] Number of Jobs Started,[28] Number of Jobs Started,[29] Number of Jobs Started,[2] Number of Jobs Started,[30] Number of Jobs Started,[31] Number of Jobs Started,[32] Number of Jobs Started,[33] Number of Jobs Started,[34] Number of Jobs Started,[35] Number of Jobs Started,[36] Number of Jobs Started,[37] Number of Jobs Started,[38] Number of Jobs Started,[39] Number of Jobs Started,[3] Number of Jobs Started,[40] Number of Jobs Started,[41] Number of Jobs Started,[42] Number of Jobs Started,[43] Number of Jobs Started,[44] Number of Jobs Started,[45] Number of Jobs Started,[46] Number of Jobs Started,[47] Number of Jobs Started,[48] Number of Jobs Started,[49] Number of Jobs Started,[4] Number of Jobs Started,[50] Number of Jobs Started,[51] Number of Jobs Started,[52] Number of Jobs Started,[53] Number of Jobs Started,[54] Number of Jobs Started,[55] Number of Jobs Started,[56] Number of Jobs Started,[57] Number of Jobs Started,[58] Number of Jobs Started,[59] Number of Jobs Started,[5] Number of Jobs Started,[60] Number of Jobs Started,[61] Number of Jobs Started,[62] Number of Jobs Started,[63] Number of Jobs Started,[64] Number of Jobs Started,[65] Number of Jobs Started,[66] Number of Jobs Started,[67] Number of Jobs Started,[68] Number of Jobs Started,[6] Number of Jobs Started,[70] Number of Jobs Started,[71] Number of Jobs Started,[72] Number of Jobs Started,[7] Number of Jobs Started,[8] Number of Jobs Started,[9] Number of Jobs Started
2015-08-11,7.0,0.0,11.0,0.0,2.0,0.0,19.0,2.0,0.0,0.0,585.0,19.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,258.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,61.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,11.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,16.0,2.0
2015-08-12,10.0,0.0,4.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,346.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,189.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,16.0,0.0
2015-08-13,8.0,4.0,18.0,0.0,0.0,0.0,21.0,0.0,19.0,0.0,837.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,183.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,99.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,2.0,0.0,17.0,0.0
2015-08-14,42.0,0.0,8.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,571.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,76.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,64.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,1.0,28.0,0.0
2015-08-15,7.0,0.0,2.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,691.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,49.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,19.0,20.0,0.0
2015-08-16,22.0,0.0,2.0,8.0,0.0,2.0,13.0,0.0,0.0,0.0,402.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,88.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,13.0,3.0,,,0.0,3.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,6.0,25.0,0.0
2015-08-17,20.0,1.0,7.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,425.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,435.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,95.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,166.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,29.0,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,11.0,0.0,45.0,0.0
2015-08-18,24.0,0.0,10.0,3.0,0.0,0.0,12.0,3.0,1.0,0.0,2465.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,158.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,143.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,15.0,0.0,,,0.0,6.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,6.0,11.0,31.0,0.0
2015-08-19,19.0,1.0,18.0,1.0,0.0,8.0,14.0,1.0,2.0,0.0,844.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,152.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,15.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,6.0,1.0,37.0,1.0
2015-08-20,13.0,0.0,7.0,0.0,0.0,10.0,15.0,0.0,2.0,1.0,1487.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,,21.0,0.0,202.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,8.0,0.0,22.0,1.0
